   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.004    0.004 random.py:100(seed)
49862/49274    0.004    0.000    0.004    0.000 {len}
        1    0.000    0.000    0.004    0.004 uuid.py:45(<module>)
        1    0.001    0.001    0.003    0.003 httplib.py:67(<module>)
     1207    0.003    0.000    0.003    0.000 ale_python_interface.py:170(getScreenDims)
        1    0.000    0.000    0.003    0.003 __init__.py:2217(load)
        1    0.000    0.000    0.003    0.003 __init__.py:2232(resolve)
        1    0.000    0.000    0.003    0.003 version.py:4(<module>)
      164    0.001    0.000    0.003    0.000 version.py:198(__init__)
 1577/582    0.002    0.000    0.003    0.000 sre_parse.py:151(getwidth)
      423    0.002    0.000    0.003    0.000 sre_compile.py:256(_optimize_charset)
        1    0.000    0.000    0.003    0.003 atari_env.py:1(<module>)
        1    0.000    0.000    0.003    0.003 util.py:247(find_library)
        1    0.000    0.000    0.003    0.003 util.py:209(_findSoname_ldconfig)
        3    0.000    0.000    0.003    0.001 pyparsing.py:1096(parseString)
        1    0.002    0.002    0.003    0.003 __init__.py:88(<module>)
        5    0.000    0.000    0.003    0.001 numeric.py:86(zeros_like)
     1204    0.003    0.000    0.003    0.000 ale_python_interface.py:143(game_over)
     2412    0.002    0.000    0.003    0.000 core.py:84(monitor)
        5    0.003    0.001    0.003    0.001 {numpy.core.multiarray.copyto}
     4709    0.002    0.000    0.003    0.000 sre_parse.py:141(__getitem__)
       28    0.000    0.000    0.003    0.000 __init__.py:2700(_reload_version)
        1    0.003    0.003    0.003    0.003 hashlib.py:56(<module>)
    25480    0.003    0.000    0.003    0.000 {method 'append' of 'list' objects}
       67    0.000    0.000    0.003    0.000 __init__.py:2026(_handle_ns)
     4860    0.003    0.000    0.003    0.000 {numpy.core.multiarray.array}
       28    0.000    0.000    0.003    0.000 __init__.py:2329(_version_from_file)
       66    0.000    0.000    0.003    0.000 pkgutil.py:176(find_module)
       65    0.000    0.000    0.003    0.000 __init__.py:2103(fixup_namespace_packages)
        1    0.000    0.000    0.003    0.003 core.py:1(<module>)
        1    0.000    0.000    0.003    0.003 version.py:191(Version)
        1    0.001    0.001    0.002    0.002 numerictypes.py:82(<module>)
        1    0.000    0.000    0.002    0.002 monitor.py:1(<module>)
        1    0.000    0.000    0.002    0.002 core.py:21(<module>)
        1    0.001    0.001    0.002    0.002 numeric.py:1(<module>)
        1    0.000    0.000    0.002    0.002 parser.py:5(<module>)
      180    0.000    0.000    0.002    0.000 __init__.py:2502(_get_metadata)
        2    0.002    0.001    0.002    0.001 {posix.urandom}
       76    0.000    0.000    0.002    0.000 posixpath.py:372(realpath)
        1    0.000    0.000    0.002    0.002 ssl.py:88(<module>)
        1    0.000    0.000    0.002    0.002 feedparser.py:20(<module>)
        1    0.000    0.000    0.002    0.002 __init__.py:2258(parse)
        1    0.000    0.000    0.002    0.002 __init__.py:2197(__init__)
        1    0.000    0.000    0.002    0.002 fields.py:1(<module>)
        1    0.000    0.000    0.002    0.002 __init__.py:2856(parse)
        2    0.000    0.000    0.002    0.001 __init__.py:2790(parse_requirements)
        1    0.000    0.000    0.002    0.002 __init__.py:2810(__init__)
        1    0.000    0.000    0.002    0.002 requirements.py:88(__init__)
        3    0.001    0.000    0.002    0.001 six.py:1(<module>)
        1    0.000    0.000    0.002    0.002 poolmanager.py:1(<module>)
        1    0.002    0.002    0.002    0.002 socket.py:45(<module>)
  743/728    0.001    0.000    0.002    0.000 {method 'join' of 'str' objects}
       15    0.002    0.000    0.002    0.000 {method 'read' of 'file' objects}
        1    0.000    0.000    0.002    0.002 ale_python_interface.py:6(<module>)
        1    0.000    0.000    0.002    0.002 urlparse.py:29(<module>)
        9    0.000    0.000    0.002    0.000 pyparsing.py:1727(__init__)
    109/4    0.000    0.000    0.002    0.000 pyparsing.py:2324(streamline)
        3    0.000    0.000    0.002    0.001 __init__.py:346(__init__)
     8479    0.002    0.000    0.002    0.000 {isinstance}
        1    0.000    0.000    0.002    0.002 Cookie.py:203(<module>)
        1    0.000    0.000    0.002    0.002 polynomial.py:4(<module>)
        1    0.001    0.001    0.002    0.002 case.py:1(<module>)
       28    0.000    0.000    0.002    0.000 {next}
        1    0.000    0.000    0.002    0.002 video_recorder.py:1(<module>)
