   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2101    0.000    0.000    0.000    0.000 {ord}
       14    0.000    0.000    0.000    0.000 __init__.py:1580(_get)
      164    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _polybase.py:8(<module>)
       19    0.000    0.000    0.000    0.000 nosetester.py:170(__init__)
      385    0.000    0.000    0.000    0.000 stat.py:55(S_ISLNK)
        1    0.000    0.000    0.000    0.000 _iotools.py:3(<module>)
       18    0.000    0.000    0.000    0.000 __init__.py:1071(_fixupParents)
        1    0.000    0.000    0.000    0.000 calendar.py:6(<module>)
      648    0.000    0.000    0.000    0.000 version.py:244(<genexpr>)
      164    0.000    0.000    0.000    0.000 <string>:8(__new__)
        9    0.000    0.000    0.000    0.000 extras.py:231(__init__)
      236    0.000    0.000    0.000    0.000 sre_compile.py:546(isstring)
      6/5    0.000    0.000    0.000    0.000 pyparsing.py:2859(parseImpl)
       50    0.000    0.000    0.000    0.000 sre_parse.py:227(isname)
       25    0.000    0.000    0.000    0.000 __init__.py:205(_acquireLock)
        9    0.000    0.000    0.000    0.000 extras.py:235(getdoc)
        1    0.000    0.000    0.000    0.000 heapq.py:31(<module>)
        1    0.000    0.000    0.000    0.000 py3k.py:71(sixu)
       27    0.000    0.000    0.000    0.000 core.py:863(__init__)
       35    0.000    0.000    0.000    0.000 _inspect.py:67(getargs)
      422    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      181    0.000    0.000    0.000    0.000 sre_parse.py:85(closegroup)
        1    0.000    0.000    0.000    0.000 certs.py:13(<module>)
        1    0.000    0.000    0.000    0.000 http_client.py:1(<module>)
      161    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       15    0.000    0.000    0.000    0.000 {method 'splitlines' of 'str' objects}
    35/33    0.000    0.000    0.000    0.000 pyparsing.py:2711(__str__)
        1    0.000    0.000    0.000    0.000 os.py:35(_get_exports_list)
       27    0.000    0.000    0.000    0.000 threading.py:147(acquire)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:3(<module>)
       38    0.000    0.000    0.000    0.000 __init__.py:372(__getattr__)
        8    0.000    0.000    0.000    0.000 core.py:7792(__init__)
        1    0.000    0.000    0.000    0.000 StringIO.py:30(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1288(handle)
       19    0.000    0.000    0.000    0.000 __init__.py:1127(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:5(<module>)
       26    0.000    0.000    0.000    0.000 pyparsing.py:1878(parseImpl)
       79    0.000    0.000    0.000    0.000 collections.py:375(<genexpr>)
        1    0.000    0.000    0.000    0.000 retry.py:18(Retry)
        1    0.000    0.000    0.000    0.000 registration.py:40(finalize)
        1    0.000    0.000    0.000    0.000 __init__.py:1320(callHandlers)
        1    0.000    0.000    0.000    0.000 hermite.py:59(<module>)
        1    0.000    0.000    0.000    0.000 StringIO.py:42(StringIO)
       17    0.000    0.000    0.000    0.000 functools.py:17(update_wrapper)
        1    0.000    0.000    0.000    0.000 stats_recorder.py:1(<module>)
        1    0.000    0.000    0.000    0.000 chebyshev.py:87(<module>)
      160    0.000    0.000    0.000    0.000 stat.py:40(S_ISDIR)
        1    0.000    0.000    0.000    0.000 __init__.py:746(handle)
        1    0.000    0.000    0.000    0.000 hermite_e.py:59(<module>)
       46    0.000    0.000    0.000    0.000 pyparsing.py:1891(__str__)
        1    0.000    0.000    0.000    0.000 laguerre.py:59(<module>)
      330    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 legendre.py:83(<module>)
        8    0.000    0.000    0.000    0.000 core.py:7797(getdoc)
        1    0.000    0.000    0.000    0.000 utils.py:614(default_headers)
       89    0.000    0.000    0.000    0.000 pkgutil.py:366(get_importer)
        2    0.000    0.000    0.000    0.000 seeding.py:34(hash_seed)
        1    0.000    0.000    0.000    0.000 records.py:36(<module>)
       89    0.000    0.000    0.000    0.000 __init__.py:22(find_module)
      332    0.000    0.000    0.000    0.000 pyparsing.py:1493(streamline)
        1    0.000    0.000    0.000    0.000 ale_python_interface.py:155(getMinimalActionSet)
        1    0.000    0.000    0.000    0.000 configuration.py:1(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:451(_set_array_types)
       25    0.000    0.000    0.000    0.000 __init__.py:214(_releaseLock)
        1    0.000    0.000    0.000    0.000 errors.py:5(<module>)
      378    0.000    0.000    0.000    0.000 six.py:88(__init__)
        7    0.000    0.000    0.000    0.000 contextlib.py:54(contextmanager)
        1    0.000    0.000    0.000    0.000 __init__.py:849(emit)
        1    0.000    0.000    0.000    0.000 fftpack.py:32(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:285(_add_types)
       10    0.000    0.000    0.000    0.000 re.py:208(escape)
      146    0.000    0.000    0.000    0.000 _weakrefset.py:70(__contains__)
      561    0.000    0.000    0.000    0.000 stat.py:24(S_IFMT)
        3    0.000    0.000    0.000    0.000 __init__.py:75(CFUNCTYPE)
       24    0.000    0.000    0.000    0.000 __init__.py:1857(has_metadata)
        1    0.000    0.000    0.000    0.000 structures.py:42(__init__)
        1    0.000    0.000    0.000    0.000 socks.py:17(<module>)
        2    0.000    0.000    0.000    0.000 adapters.py:107(__init__)
        1    0.000    0.000    0.000    0.000 suite.py:1(<module>)
        1    0.000    0.000    0.000    0.000 mimetypes.py:24(<module>)
        7    0.000    0.000    0.000    0.000 pyparsing.py:2998(__str__)
      150    0.000    0.000    0.000    0.000 six.py:177(_add_module)
       84    0.000    0.000    0.000    0.000 __init__.py:2334(<lambda>)
        1    0.000    0.000    0.000    0.000 polyutils.py:45(<module>)
       18    0.000    0.000    0.000    0.000 core.py:941(__init__)
      153    0.000    0.000    0.000    0.000 posixpath.py:52(isabs)
       14    0.000    0.000    0.000    0.000 __init__.py:144(_check_size)
        2    0.000    0.000    0.000    0.000 {method 'seed' of 'mtrand.RandomState' objects}
      119    0.000    0.000    0.000    0.000 sre_parse.py:67(__init__)
      467    0.000    0.000    0.000    0.000 sre_parse.py:145(__setitem__)
      460    0.000    0.000    0.000    0.000 pyparsing.py:1487(__str__)
      271    0.000    0.000    0.000    0.000 {numpy.core.multiarray.add_docstring}
      165    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      496    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
      492    0.000    0.000    0.000    0.000 version.py:298(_parse_letter_version)
       10    0.000    0.000    0.000    0.000 pyparsing.py:2854(__init__)
        1    0.000    0.000    0.000    0.000 pyparsing.py:1839(Regex)
       38    0.000    0.000    0.000    0.000 __init__.py:379(__getitem__)
      112    0.000    0.000    0.000    0.000 pyparsing.py:277(__new__)
       16    0.000    0.000    0.000    0.000 pyparsing.py:883(setParseAction)
        1    0.000    0.000    0.000    0.000 _datasource.py:35(<module>)
        1    0.000    0.000    0.000    0.000 contextlib.py:1(<module>)
       27    0.000    0.000    0.000    0.000 threading.py:187(release)
        6    0.000    0.000    0.000    0.000 _abcoll.py:548(update)
       38    0.000    0.000    0.000    0.000 pyparsing.py:1816(__str__)
       72    0.000    0.000    0.000    0.000 {repr}
       36    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
       16    0.000    0.000    0.000    0.000 codecs.py:311(decode)
        2    0.000    0.000    0.000    0.000 adapters.py:141(init_poolmanager)
        1    0.000    0.000    0.000    0.000 reraise.py:1(<module>)
        8    0.000    0.000    0.000    0.000 pyparsing.py:3423(<genexpr>)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:2888(std)
        8    0.000    0.000    0.000    0.000 six.py:91(__get__)
        1    0.000    0.000    0.000    0.000 numerictypes.py:781(_construct_lookups)
       79    0.000    0.000    0.000    0.000 collections.py:373(<genexpr>)
        6    0.000    0.000    0.000    0.000 pyparsing.py:3421(<lambda>)
       16    0.000    0.000    0.000    0.000 genericpath.py:34(isfile)
        1    0.000    0.000    0.000    0.000 threading.py:1081(__init__)
        1    0.000    0.000    0.000    0.000 pyopenssl.py:45(<module>)
       25    0.000    0.000    0.000    0.000 pyparsing.py:1781(parseImpl)
        1    0.000    0.000    0.000    0.000 _methods.py:122(_std)
        1    0.000    0.000    0.000    0.000 Queue.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3165(delimitedList)
       14    0.000    0.000    0.000    0.000 {open}
        1    0.000    0.000    0.000    0.000 connection.py:122(_has_ipv6)
        1    0.000    0.000    0.000    0.000 pyparsing.py:2736(NotAny)
      257    0.000    0.000    0.000    0.000 Cookie.py:310(<genexpr>)
      158    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       18    0.000    0.000    0.000    0.000 pyparsing.py:496(__iadd__)
      184    0.000    0.000    0.000    0.000 pyparsing.py:2275(<genexpr>)
        1    0.000    0.000    0.000    0.000 seeding.py:1(<module>)
       16    0.000    0.000    0.000    0.000 pyparsing.py:774(wrapper)
        2    0.000    0.000    0.000    0.000 poolmanager.py:117(__init__)
       16    0.000    0.000    0.000    0.000 {method 'splitlines' of 'unicode' objects}
        3    0.000    0.000    0.000    0.000 __init__.py:490(PYFUNCTYPE)
        1    0.000    0.000    0.000    0.000 ale_python_interface.py:116(__init__)
        1    0.000    0.000    0.000    0.000 signals.py:1(<module>)
        3    0.000    0.000    0.000    0.000 _collections.py:43(__init__)
        1    0.000    0.000    0.000    0.000 numerictypes.py:338(_add_integer_aliases)
        1    0.000    0.000    0.000    0.000 structures.py:8(<module>)
       80    0.000    0.000    0.000    0.000 pyparsing.py:950(preParse)
        1    0.000    0.000    0.000    0.000 _methods.py:76(_var)
        4    0.000    0.000    0.000    0.000 version.py:263(__init__)
       72    0.000    0.000    0.000    0.000 numerictypes.py:127(english_lower)
        1    0.000    0.000    0.000    0.000 ascii.py:8(<module>)
       30    0.000    0.000    0.000    0.000 numerictypes.py:443(_add_array_type)
        1    0.000    0.000    0.000    0.000 getlimits.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1233(findCaller)
       79    0.000    0.000    0.000    0.000 _inspect.py:133(strseq)
        5    0.000    0.000    0.000    0.000 collections.py:50(__init__)
        1    0.000    0.000    0.000    0.000 message.py:92(Message)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:2796(mean)
       52    0.000    0.000    0.000    0.000 _weakrefset.py:83(add)
        4    0.000    0.000    0.000    0.000 version.py:268(parse)
       21    0.000    0.000    0.000    0.000 numerictypes.py:216(_evalname)
        6    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
       10    0.000    0.000    0.000    0.000 pyparsing.py:2792(__str__)
        3    0.000    0.000    0.000    0.000 __init__.py:665(__init__)
       16    0.000    0.000    0.000    0.000 copy_reg.py:95(_slotnames)
      336    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       16    0.000    0.000    0.000    0.000 {_codecs.utf_8_decode}
      560    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
      181    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.000    0.000 result.py:26(TestResult)
      265    0.000    0.000    0.000    0.000 sre_parse.py:221(isident)
        1    0.000    0.000    0.000    0.000 closer.py:1(<module>)
        2    0.000    0.000    0.000    0.000 {_ctypes.POINTER}
        1    0.000    0.000    0.000    0.000 unicode_escape.py:8(<module>)
      411    0.000    0.000    0.000    0.000 {globals}
        1    0.000    0.000    0.000    0.000 _methods.py:53(_mean)
        1    0.000    0.000    0.000    0.000 __init__.py:723(format)
        1    0.000    0.000    0.000    0.000 core.py:9(<module>)
      242    0.000    0.000    0.000    0.000 {max}
        1    0.000    0.000    0.000    0.000 atomic_write.py:3(<module>)
       10    0.000    0.000    0.000    0.000 pyparsing.py:3260(_escapeRegexRangeChars)
        1    0.000    0.000    0.000    0.000 ordered_dict.py:5(<module>)
        1    0.000    0.000    0.000    0.000 cgi.py:16(<module>)
        9    0.000    0.000    0.000    0.000 pyparsing.py:1429(suppress)
       66    0.000    0.000    0.000    0.000 __init__.py:721(__iter__)
       12    0.000    0.000    0.000    0.000 ctypeslib.py:330(prep_simple)
        2    0.000    0.000    0.000    0.000 closer.py:32(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:452(format)
      211    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 ssl.py:129(<dictcomp>)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
      326    0.000    0.000    0.000    0.000 _structures.py:33(__neg__)

